rel_path	source_root	source_path	target_path	source_exists	target_exists	source_mtime	target_mtime	source_sha	target_sha	recommendation
AGENT-PROFILES.md	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow/AGENT-PROFILES.md	/Users/jjbot/.openclaw/workspace-elevate-flow/AGENT-PROFILES.md	yes	yes	2026-03-05 14:54:56	2026-03-07 20:39:18	d041761cc0fb2aa4c48d0c16e5a2e4fe526dc9203b855a2991b32424b446a9fb	4035e5175bfdde6a5661b863a46e785fca333741a1a9c560583ab1c7574c0b05	promote_changed
AGENT-PROFILES.md	/Users/jjbot/.openclaw/workspace-jj	/Users/jjbot/.openclaw/workspace-jj/AGENT-PROFILES.md	/Users/jjbot/.openclaw/workspace-elevate-flow/AGENT-PROFILES.md	yes	yes	2026-03-04 19:43:36	2026-03-07 20:39:18	d041761cc0fb2aa4c48d0c16e5a2e4fe526dc9203b855a2991b32424b446a9fb	4035e5175bfdde6a5661b863a46e785fca333741a1a9c560583ab1c7574c0b05	promote_changed
AGENT-PROFILES.md	/Users/jjbot/.openclaw/workspace	/Users/jjbot/.openclaw/workspace/AGENT-PROFILES.md	/Users/jjbot/.openclaw/workspace-elevate-flow/AGENT-PROFILES.md	yes	yes	2026-03-07 20:50:09	2026-03-07 20:39:18	67ea98282028fae49b709d40cb0303e895a4970afc8fa33329fa56c7aa928738	4035e5175bfdde6a5661b863a46e785fca333741a1a9c560583ab1c7574c0b05	promote_changed
AGENTS.md	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow/AGENTS.md	/Users/jjbot/.openclaw/workspace-elevate-flow/AGENTS.md	yes	yes	2026-03-05 14:54:56	2026-03-07 20:39:01	b9a756230e062b1ee3fa5ea17b5d78fa938703938b1ce79bab6e34af41bfdbe4	44af4cc079c6bfac695aee0ecf386f7784136ec4154bb2014588b97f76ed9cd3	promote_changed
AGENTS.md	/Users/jjbot/.openclaw/workspace-jj	/Users/jjbot/.openclaw/workspace-jj/AGENTS.md	/Users/jjbot/.openclaw/workspace-elevate-flow/AGENTS.md	yes	yes	2026-03-07 20:50:09	2026-03-07 20:39:01	fffe7e0b3f39abc4f9d828024bcac6f3a971e3d6a933badf0465797c1b28d1a8	44af4cc079c6bfac695aee0ecf386f7784136ec4154bb2014588b97f76ed9cd3	promote_changed
AGENTS.md	/Users/jjbot/.openclaw/workspace	/Users/jjbot/.openclaw/workspace/AGENTS.md	/Users/jjbot/.openclaw/workspace-elevate-flow/AGENTS.md	yes	yes	2026-03-07 20:50:09	2026-03-07 20:39:01	b5e512c4f8a364e34f0b9d4422b4eac07074555bd9caac65d36aeb2b7630f10e	44af4cc079c6bfac695aee0ecf386f7784136ec4154bb2014588b97f76ed9cd3	promote_changed
ELEVATE-MISSION-CONTROL.md	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow/ELEVATE-MISSION-CONTROL.md	/Users/jjbot/.openclaw/workspace-elevate-flow/ELEVATE-MISSION-CONTROL.md	yes	yes	2026-03-05 14:54:56	2026-03-03 15:33:42	a7ec891c22fec0ab5fac1d945abc833237f2610898d217b85373f781ccf4b8c7	ea5c606b745712f13de9f1e5f08426f67c004badcde5248c70213c8c9354c0d3	promote_changed
ELEVATE-MISSION-CONTROL.md	/Users/jjbot/.openclaw/workspace-jj	/Users/jjbot/.openclaw/workspace-jj/ELEVATE-MISSION-CONTROL.md	/Users/jjbot/.openclaw/workspace-elevate-flow/ELEVATE-MISSION-CONTROL.md	yes	yes	2026-03-04 19:43:36	2026-03-03 15:33:42	a7ec891c22fec0ab5fac1d945abc833237f2610898d217b85373f781ccf4b8c7	ea5c606b745712f13de9f1e5f08426f67c004badcde5248c70213c8c9354c0d3	promote_changed
ELEVATE-MISSION-CONTROL.md	/Users/jjbot/.openclaw/workspace	/Users/jjbot/.openclaw/workspace/ELEVATE-MISSION-CONTROL.md	/Users/jjbot/.openclaw/workspace-elevate-flow/ELEVATE-MISSION-CONTROL.md	yes	yes	2026-02-25 13:50:32	2026-03-03 15:33:42	2e69932f80ce933725761b1afea2408718a59c96426617acbf1198f9947cd8d6	ea5c606b745712f13de9f1e5f08426f67c004badcde5248c70213c8c9354c0d3	promote_changed
RUNBOOK.md	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow/RUNBOOK.md	/Users/jjbot/.openclaw/workspace-elevate-flow/RUNBOOK.md	yes	yes	2026-03-07 20:50:09	2026-03-07 20:40:44	2272bd6feb0cdeb89ec9cceadd73ea759e9214a8afe50819bdff7927d71fe458	cc943250242e36651c595d91b583cfa4673b6dae340b73407c569303ee17c58e	promote_changed
RUNBOOK.md	/Users/jjbot/.openclaw/workspace-jj	/Users/jjbot/.openclaw/workspace-jj/RUNBOOK.md	/Users/jjbot/.openclaw/workspace-elevate-flow/RUNBOOK.md	yes	yes	2026-03-07 20:50:09	2026-03-07 20:40:44	88852e20dccd19d4467e158da600cc24c0b22cc134793c5ab84b19f2455f0213	cc943250242e36651c595d91b583cfa4673b6dae340b73407c569303ee17c58e	promote_changed
agents/Ali/IDENTITY.md	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow/agents/Ali/IDENTITY.md	/Users/jjbot/.openclaw/workspace-elevate-flow/agents/Ali/IDENTITY.md	yes	yes	2026-03-05 14:54:56	2026-03-07 20:40:44	4ebf48a663c4b546aeaabc3e28b843f8893f15a36815dee778b027f7f1533984	2e4f5de540f6f4f931cc4672a1b0e0af658c8f523899fdbea5abd7a1b2c09c71	promote_changed
agents/Ali/IDENTITY.md	/Users/jjbot/.openclaw/workspace-jj	/Users/jjbot/.openclaw/workspace-jj/agents/Ali/IDENTITY.md	/Users/jjbot/.openclaw/workspace-elevate-flow/agents/Ali/IDENTITY.md	yes	yes	2026-03-05 14:44:46	2026-03-07 20:40:44	4ebf48a663c4b546aeaabc3e28b843f8893f15a36815dee778b027f7f1533984	2e4f5de540f6f4f931cc4672a1b0e0af658c8f523899fdbea5abd7a1b2c09c71	promote_changed
agents/Ali/IDENTITY.md	/Users/jjbot/.openclaw/workspace	/Users/jjbot/.openclaw/workspace/agents/Ali/IDENTITY.md	/Users/jjbot/.openclaw/workspace-elevate-flow/agents/Ali/IDENTITY.md	yes	yes	2026-02-24 10:38:37	2026-03-07 20:40:44	4ebf48a663c4b546aeaabc3e28b843f8893f15a36815dee778b027f7f1533984	2e4f5de540f6f4f931cc4672a1b0e0af658c8f523899fdbea5abd7a1b2c09c71	promote_changed
agents/Ali/SOUL.md	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow	/Users/jjbot/.openclaw/workspace-vlad/mission-control-dashboard/canon/elevate-flow/agents/Ali/SOUL.md	/Users/jjbot/.openclaw/workspace-elevate-flow/agents/Ali/SOUL.md	yes	yes	2026-03-05 14:54:56	2026-03-07 20:40:44	68dfb453b18b069f189a0a7c6de2100eeb9b5b5cb727682ff7420fe254d1f7ad	73d4c3f120b2275a1e2a98fb9c63df862c89521ec7bbf27151bc309251ff1cab	promote_changed
agents/Ali/SOUL.md	/Users/jjbot/.openclaw/workspace-jj	/Users/jjbot/.openclaw/workspace-jj/agents/Ali/SOUL.md	/Users/jjbot/.openclaw/workspace-elevate-flow/agents/Ali/SOUL.md	yes	yes	2026-03-05 14:44:46	2026-03-07 20:40:44	68dfb453b18b069f189a0a7c6de2100eeb9b5b5cb727682ff7420fe254d1f7ad	73d4c3f120b2275a1e2a98fb9c63df862c89521ec7bbf27151bc309251ff1cab	promote_changed
agents/Ali/SOUL.md	/Users/jjbot/.openclaw/workspace	/Users/jjbot/.openclaw/workspace/agents/Ali/SOUL.md	/Users/jjbot/.openclaw/workspace-elevate-flow/agents/Ali/SOUL.md	yes	yes	2026-02-24 10:59:58	2026-03-07 20:40:44	4fcc8540b7a505dd51b1e943e9b3183a06b3313ac4ab8a2d1fbb6a5830e9c97d	73d4c3f120b2275a1e2a98fb9c63df862c89521ec7bbf27151bc309251ff1cab	promote_changed
